Claart,Fecncre,Cant,Clacli,Clatipcli
02TOR812,28/08/21,100.0,MRSZI046,0
03SOL31612,30/08/21,5.6,CACR56,1
03TC3012,30/08/21,1.0,MRSZI046,0
03SOL1812,31/08/21,10.0,MRSZI046,0
03TC3031,01/09/21,1.0,MRSZI046,0
03PC15020Z,01/09/21,26.4,MRSZI046,0
03TABBTZ310,01/09/21,73.2,MRSZI046,0
01ES,03/09/21,40.0,MRSZI0092,0
03TAB3101,03/09/21,20.4,MRSZI046,0
03LPCR726,06/09/21,2.0,MRS2043,0
03TUBMOF58,08/09/21,2.0,EAMR77,0
01ARM12204,09/09/21,12.0,MRSZI046,0
03TAB310T,09/09/21,40.8,MRSZI046,0
01EST1515,10/09/21,19.0,MRS2043,0
01ARM12204,11/09/21,10.0,MRSZI046,0
03DUDO20,11/09/21,9.4,MRS2043,0
03VCAR38,11/09/21,4.4,MRS2043,0
01ARM153,13/09/21,5.0,MRSZI046,0
05TUBPVCHA12,15/09/21,2.0,MRS2043,0
01ARM1543,17/09/21,5.0,MRS2043,0
06PLAS25,18/09/21,1.0,MRS2043,0
03TAB36,21/09/21,37.2,MRSZI046,0
01ARM1530,22/09/21,55.0,MRS2043,0
03121CH20,24/09/21,6.0,MRSZI046,0
02ECAG4305,25/09/21,5.0,MRSZI046,0
02EPP4244,25/09/21,6.0,MRSZI046,0
03PTR214,27/09/21,35.2,RCC,0
03LN31018,27/09/21,1.0,MRSZI046,0
05FLOPTIN,28/09/21,1.0,MRS2043,0
05CODCP9012,29/09/21,5.0,MRSZI1235,0
04HPPB1434,29/09/21,60.0,MRS2043,0
05CODPVC245,01/10/21,3.0,MRS2043,0
05CODPVC290,01/10/21,5.0,MRS2043,0
05CODPVC490,01/10/21,2.0,MRS2043,0
05COPPVC4,01/10/21,4.0,MRS2043,0
05TEEPVC4,01/10/21,1.0,MRS2043,0
05YEEPVCR42,01/10/21,2.0,MRS2043,0
03PTR11214,02/10/21,12.0,COGF68,1
03PTR4414,02/10/21,69.2,COGF68,1
03SOL144,02/10/21,58.8,COGF68,1
03TC30114,02/10/21,12.6,COGF68,1
03VRED58,02/10/21,18.8,COGF68,1
03PR30020,02/10/21,9.6,EAMF78,1
03SOL1812,02/10/21,2.0,EAMF78,1
03SOL1834,02/10/21,3.0,EAMF78,1
03VCUA12,02/10/21,14.0,EAMF78,1
03PC10020,02/10/21,2.3,EAMF78,1
03PC15018,02/10/21,68.8,TOPE72,0
03PTR11214,02/10/21,26.0,TOPE72,0
03SOL18112,02/10/21,6.2,TOPE72,0
03SOL1834,04/10/21,30.0,TTS901,1
01ARECARR,04/10/21,1.0,TTS901,1
01CEMCAZ50,04/10/21,1.0,TTS901,1
01ARM1543,04/10/21,1.0,TTS901,1
05CODC1290,05/10/21,2.0,MRS2043,0
