Claart,Fecfac,Cant,Clacli,Clatipcli
01CEMCAZ50,21/02/20,100.0,OERA46,1
01CEMCAZ50,24/02/20,100.0,OERA46,1
01ARM204,25/02/20,15.0,MRS1993,0
01CEMCAZ50,26/02/20,100.0,OERA46,1
01CAL,26/02/20,20.0,RCC,0
01CEMCAZ50,26/02/20,20.0,RCC,0
01CEMCAZ50,26/02/20,100.0,OERA46,1
05CS15MF,27/02/20,2.0,MRS2157,0
01CAL,29/02/20,15.0,gco02,0
01CEMCAZ50,29/02/20,40.0,gco02,0
01ARM204,02/03/20,2.0,MRS1993,0
01CEMCAZ50,02/03/20,30.0,MARA76,0
01CEMCAZ50,04/03/20,100.0,OERA46,1
01ARM204,04/03/20,5.0,MRS1993,0
01CEMBC,05/03/20,1.0,FONACOT51,0
01ES,05/03/20,8.0,FONACOT51,0
06PEGAMM,05/03/20,4.0,FONACOT51,0
01CEMCAZ50,07/03/20,40.0,gco02,0
01CEMCAZ50,11/03/20,30.0,CARA65,0
01VAR112,11/03/20,5.0,CARA65,0
