Claart,Fecfac,Cant
01CEMBIG,30/01/20,2.0
01ARM204,31/01/20,10.0
01CEMCAZ50,31/01/20,285.0
01CEMCAZ50,31/01/20,100.0
01YEM,31/01/20,30.0
01CEMCAZ50,31/01/20,1020.0
01CAL,01/02/20,8.0
01CEMCAZ50,01/02/20,20.0
01CEMCAZ50,01/02/20,20.0
01CEMAGR,01/02/20,47.56
05CS10MF,03/02/20,8.0
05CS15MF,03/02/20,2.0
05CS15MF,03/02/20,4.0
01CEMAGR,04/02/20,25.13
01CEMCAZ50,05/02/20,100.0
01CEMCAZ50,05/02/20,100.0
01VAR38,06/02/20,15.0
01EST1530,06/02/20,43.25
01CEMBIG,07/02/20,8.0
01CEMBIG,07/02/20,4.0
01CEMBIG,07/02/20,2.0
01CEMAGR,07/02/20,40.11
01CAL,07/02/20,20.0
01ALREC,10/02/20,20.0
01BAB1030,10/02/20,1100.0
01ARM204,11/02/20,5.0
06CLA212,11/02/20,4.0
01CEMAGR,11/02/20,31.25
01CEMAGR,11/02/20,8.9
01CEMCAZ50,11/02/20,100.0
01CEMCAZ50,11/02/20,120.0
01CEMCAZ50,11/02/20,100.0
01CEMCAZ50,12/02/20,60.0
01CEMCAZ50,13/02/20,300.0
01EST1530,13/02/20,28.6
05CS12MF,13/02/20,3.0
01CEMCAZ50,14/02/20,30.0
01CEMAGR,14/02/20,25.15
01CEMCAZ50,14/02/20,70.0
01CEMCAZ50,14/02/20,100.0
01CEMAGR,15/02/20,39.21
01ARM204,17/02/20,2.0
01ARM204,17/02/20,5.0
05CODCRI12,18/02/20,64.0
05TUBCOM12,18/02/20,115.9
05CODC1290,18/02/20,749.0
05CODCRI12,18/02/20,171.0
01ALREC,19/02/20,20.0
01ARM204,19/02/20,5.0
01EST1530,19/02/20,28.15
06CLA212,19/02/20,2.0
01ALREC,19/02/20,2.82
01VAR38,19/02/20,26.0
01CEMCAZ50,19/02/20,100.0
01CEMCAZ50,19/02/20,20.0
01CEMCAZ50,20/02/20,80.0
01CEMAGR,20/02/20,4.4
01CEMAGR,20/02/20,35.72
