"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","facren","Nncar","Numfac","Tipo","canfon","observacion","Clauni","objimp"
"1","SRVDC16","1400","1","0","yes","1206.89655","16","0","1382997","0","ZINC0170","ZI009773","yes","0","","0",""
"1","SRVDC16","4851.56","1","0","yes","4182.37931","16","0","1383000","0","ZINC0171","ZI001239","yes","0","","0",""
"1","SRVDC16","1665","1","0","yes","1435.34483","16","0","1383003","0","ZINC0172","ZI005488","yes","0","","0",""
"1","SRVDC16","6450","1","0","yes","5560.34483","16","0","1383009","0","ZINC0173","ZI005965","yes","0","","0",""
"1","SRVDC16","14250","1","0","yes","12284.48276","16","0","1383017","0","ZINC0174","ZI002546","yes","0","","0",""
"1","SRVDC16","26533.92","1","0","yes","22874.06897","16","0","1383020","0","ZINC0175","DPQ00374","yes","0","","0",""
"1","SRVDC16","10006.88","1","0","yes","8626.62069","16","0","1383023","0","ZINC0176","DPQ01962","yes","0","","0",""
"1","SRVDC16","837082.5","1","0","yes","721622.84483","16","0","1383051","0","ZINC0177","ZI000171","yes","0","","0",""
"1","SRVDC16","13140","1","0","yes","11327.58621","16","0","1383054","0","ZINC0178","ZI000172","yes","0","","0",""
"1","SRVDC16","628865","1","0","yes","542125","16","0","1383057","0","ZINC0179","ZI000173","yes","0","","0",""
"1","SRVDC16","1360","1","0","yes","1172.41379","16","0","1383060","0","ZINC0180","ZI000174","yes","0","","0",""
"1","SRVDC16","9360","1","0","yes","8068.96552","16","0","1383063","0","ZINC0181","ZI000175","yes","0","","0",""
"1","SRVDC16","900","1","0","yes","775.86207","16","0","1386099","0","ZINC0182","ZI030177","yes","0","","0",""
"1","SRVDC16","1148.4","1","0","yes","990","16","0","1386850","0","ZINC0183","ZI019925","yes","0","","0",""
"1","SRVDC16","1624","1","0","yes","1400","16","0","1386853","0","ZINC0184","ZI009060","yes","0","","0",""
"1","SRVDC16","4000","1","0","yes","3448.27586","16","0","1386856","0","ZINC0185","ZI009627","yes","0","","0",""
"1","SRVDC16","13700","1","0","yes","11810.34483","16","0","1386859","0","ZINC0186","ZI011059","yes","0","","0",""
"1","SRVDC16","11122.2","1","0","yes","9588.10345","16","0","1388340","0","ZINC0187","ZI006875","yes","0","","0",""
