"Numren","Claart","Precio","Cant","Des","Estado","Costo","Piva","Pimp2","Nummov","Numfac","Numped","Pedren","canfon"
"1","01CM","11","624","0","yes","3.8793","0","0","70226","00000014","","0","0"
"2","01TU16","3","320","0","yes","0","0","0","70226","00000014","","0","0"
"3","01FM112","255","104","0","yes","0","0","0","70226","00000014","","0","0"
"4","01CIG","4.5","624","0","yes","0","0","0","70226","00000014","","0","0"
"1","01BLO10","4.1379","1500","0","yes","4.2672","16","0","70327","00000006","","0","0"
"1","01BLO15","6.1207","2000","0","yes","6.1207","16","0","70428","00005367","","0","0"
"1","01TAP","280","110","0","yes","285","16","0","70607","00000010","","0","0"
"1","01FESB20","284.4899","55","0","yes","285.039","16","0","70738","00000008","","0","0"
"1","01BLO10","4.22408","1500","0","yes","4.22408","16","0","70746","00000009","","0","0"
"1","01P241","75","292","0","yes","0","16","0","70857","00000011","","0","0"
"1","01POLMAD448","45","1670","0","yes","45","16","0","71007","00000004","","0","0"
"1","01CEMAGR","1948.2801","50.21","0","yes","1948.2801","16","0","71096","00005366","","0","0"
"1","01TAR","120","52","0","yes","90","16","0","71218","00000142","","0","0"
"3","03PTR11214","10.8","162","0","yes","0","16","0","71353","00000005","","0","0"
"4","03PTR214","10.8","5143","0","yes","0","16","0","71353","00000005","","0","0"
"1","03POL46","10.8","1199","0","yes","11.2","16","0","71353","00000005","","0","0"
"2","03POL66","10.8","46","0","yes","0","16","0","71353","00000005","","0","0"
"1","01SM","9.5","770","0","yes","9","0","0","71499","00000143","","0","0"
"1","01T244","96.77718","400","0","yes","84.015","16","0","72119","00000002","","0","0"
"9","05YEEPVC4","12.02","1","0","yes","0","16","0","72125","00000003","","0","0"
"10","05TUBPVCN4","18.9752","1344","0","yes","0","16","0","72125","00000003","","0","0"
"11","05ADAHHC112","4.7457","303","0","yes","0","16","0","72125","00000003","","0","0"
"12","05VALPVCER112","37.975","101","0","yes","0","16","0","72125","00000003","","0","0"
"13","05CODPVH4011290","5.8423","303","0","yes","0","16","0","72125","00000003","","0","0"
"18","05TPVCH261","34.8142","101","0","yes","0","16","0","72125","00000003","","0","0"
"19","06POLH12","2.0273","500","0","yes","0","16","0","72125","00000003","","0","0"
"20","05PEG500","52.8203","101","0","yes","0","16","0","72125","00000003","","0","0"
"21","05VALESP1","20.5494","101","0","yes","0","16","0","72125","00000003","","0","0"
"14","05CDH11245","8.7634","98","0","yes","0","16","0","72125","00000003","","0","0"
"15","05CPH1","3.0778","202","0","yes","0","16","0","72125","00000003","","0","0"
"16","05RBPH1121","4.4139","22","0","yes","0","16","0","72125","00000003","","0","0"
"17","05TPVCHC112","61.2152","140","0","yes","0","16","0","72125","00000003","","0","0"
"2","05CODCP190","5.3631","4","0","yes","0","16","0","72125","00000003","","0","0"
"3","05TEEPH1","4.2389","3","0","yes","0","16","0","72125","00000003","","0","0"
"4","05COPH1","2.5341","3","0","yes","0","16","0","72125","00000003","","0","0"
"5","05PEGF250","41.5043","1","0","yes","0","16","0","72125","00000003","","0","0"
"6","06POLH34","2.8936","100","0","yes","0","16","0","72125","00000003","","0","0"
"7","05CODPVC490","5.9528","210","0","yes","0","16","0","72125","00000003","","0","0"
"8","05COPPVC4","3.0317","118","0","yes","0","16","0","72125","00000003","","0","0"
